"zip_code","avg"
11201,59.5
24541,13
11598,54
10509,45
6854,12
7974,61
11417,12
11217,78.5
11209,71
10009,75.2
7310,97
11221,88.75
90028,118
6906,165
7480,131
11215,40.5
90025,69
11416,57
10044,57
10030,63
11238,70.75
7030,26
11216,71
11570,56
78336,12
10065,141
11207,242
10028,67
7302,24.5
10075,81
11937,69
10012,116.33
8540,116
10010,75.4
10022,16
10457,62
11232,82
90049,238
11226,90
10003,89.88
11206,33.67
11211,70.5
12498,132
10128,64
10570,38
10038,31.67
11230,75
7601,76.5
11231,171
10002,100.83
11579,55
7732,33
27514,67
10025,122.33
7305,12
11968,51
11354,32
90272,27
10034,12
10019,59
11374,66
10013,129
10014,69.44
7093,57
11964,25
11249,76
10021,172
7078,67
11222,63
11225,41
8542,84
10583,45
33062,69
10026,60
10018,40
10006,168
10538,67
11377,73
7043,91
11218,28
10016,111
11433,46
8724,51
11205,59.5
7307,54
11204,26
10032,23.8
11228,69
10011,86.08
10031,71
10580,209
78702,13
11237,42
20016,13
7306,53
10001,70.5
10463,63
10024,135.5
46032,16
10004,132
11423,30
10282,70
